Station,Station,Station,Station,Station,Station,Station,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-05-2021 08:30,34
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-05-2021 08:30,34
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-06-2021 08:30,118.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-06-2021 08:30,118.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-07-2021 08:30,40
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-07-2021 08:30,40
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-08-2021 08:30,15
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-08-2021 08:30,15
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-09-2021 08:30,40
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-09-2021 08:30,40
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-10-2021 08:30,48
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-10-2021 08:30,48
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-11-2021 08:30,115
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-11-2021 08:30,115
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,07-12-2021 08:30,165.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,07-12-2021 08:30,165
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/13/2021 8:30,135
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/13/2021 8:30,135
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/14/2021 8:30,165.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/14/2021 8:30,165.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/15/2021 8:30,210
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/15/2021 8:30,210
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/16/2021 8:30,185.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/16/2021 8:30,185.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/17/2021 8:30,64
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/17/2021 8:30,64
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/18/2021 8:30,58
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/18/2021 8:30,58
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/19/2021 8:30,221.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/19/2021 8:30,221.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/20/2021 8:30,110.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/20/2021 8:30,110.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/21/2021 8:30,118
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/21/2021 8:30,118
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/22/2021 8:30,207
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/22/2021 8:30,207
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/23/2021 8:30,430
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/23/2021 8:30,430
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,7/24/2021 8:30,218
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,7/24/2021 8:30,218
